module,id,type,feature,route,manual_steps,expected,automation,priority,status,tester,test_date,notes
自动化分层,L0,automation_layer,E2E 工作区冒烟,,在 clip-apps 目录执行（需 dev 或 preview）,各工作区关键按钮可见,npm run test:e2e:migration,P0,,,,
自动化分层,L1,automation_layer,迁移门全量,,在 clip-apps 目录执行,Vitest 全通过（约 1141+）,npm run test:migration,P0,,,,
自动化分层,L2,automation_layer,产品门,,在 clip-apps 目录执行,gates allOk,npm run migration:gates,P0,,,,
自动化分层,L3,automation_layer,离线 soak,,在 clip-apps 目录执行,各 MigrationComplete 通过,npm run soak:offline,P1,,,,
自动化分层,L4,automation_layer,有序管线离线,,在 clip-apps 目录执行,四阶段离线 OK,npm run migration:ordered:offline,P1,,,,
自动化分层,L5,automation_layer,Bridge mock WS,,在 clip-apps 目录执行,carveraOk 且 gridbotOk,npm run soak:device-bridge:mock,P0,,,,
自动化分层,L6,automation_layer,Live soak 组合,,按 OPERATIONS.md §9 设置 env,各域 live spec 通过,见 OPERATIONS.md §7 各模块 automation 列,P2,,,,
自动化分层,L7,automation_layer,Raster E2E 基线,,E2E_RASTER_BASELINE=1,planar checksum 一致,npm run test:e2e:raster-baseline,P1,,,,
自动化分层,CI,automation_layer,CI 一键离线回归,,在 clip-apps 目录执行,脚本退出码 0,npm run migration:ci,P0,,,,
平台与公共,P-01,manual_check,应用启动,,npm run dev 打开首页,无白屏侧栏菜单完整,npm run test:e2e:migration,P0,,,,
平台与公共,P-02,manual_check,全局设置保存,/settings,改单位或深色 → 保存 → 刷新,设置保留,,P1,,,,
平台与公共,P-03,manual_check,迁移进度条,顶栏,打开任意页,显示 scoreboard 百分比,npm run migration:report,P1,,,,
平台与公共,P-04,manual_check,grip 资源同步,,npm run sync:grip-all,无报错且 public/grip-raster-fixtures 存在,npm run sync:verify,P0,,,,
平台与公共,P-05,manual_check,迁移门全绿,,在 clip-apps 目录执行,Vitest 全通过,npm run test:migration,P0,,,,
平台与公共,P-06,manual_check,产品门全绿,,在 clip-apps 目录执行,gates allOk,npm run migration:gates,P0,,,,
CAM,CAM-01,manual_check,页面加载,/cam,进入 CAM,生成 CAM 刀路与对比金样 motion 按钮可见,npm run test:e2e:migration,P0,,,,
CAM,CAM-02,manual_check,加载示例配置,/cam,点击加载示例配置,device/process/tools 有值,,P0,,,,
CAM,CAM-03,manual_check,导入工件 STL,/cam,点击导入工件 STL 并选择文件,预览区有几何,,P1,,,,
CAM,CAM-04,manual_check,工艺配置,/cam,编辑 Stock/Z/速度与 ops 列表,表单可改且 ops 可选中,,P1,,,,
CAM,CAM-05,manual_check,生成 CAM 刀路,/cam,点击生成 CAM 刀路（Legacy）,进度完成有 G-code 且 legacy 非 error,npm run test:cam,P0,,,,
CAM,CAM-06,manual_check,G-code 预览,/cam,生成后查看中央预览,可见 G0/G1 折线,,P0,,,,
CAM,CAM-07,manual_check,grip 金样预览,/cam,点击 grip 金样预览,预览有内容,,P1,,,,
CAM,CAM-08,manual_check,对比金样 motion,/cam,点击对比金样 motion,提示 match 或显示 diff,,P1,,,,
CAM,CAM-09,manual_check,复制/下载 G-code,/cam,点击复制与下载,剪贴板或文件含 G-code,,P1,,,,
CAM,CAM-10,manual_check,保存到 Carvera Job,/cam,点击保存到 Carvera,Carvera 作业列表出现记录,,P1,,,,
CAM,CAM-11,manual_check,保存到 GridBot Job,/cam,点击保存到 GridBot,GridBot Jobs 出现记录,,P2,,,,
CAM,CAM-12,manual_check,导入/导出 JSON,/cam,导出 → 重置 → 导入,配置恢复,,P1,,,,
CAM,CAM-13,manual_check,会话包/预览设置,/cam,导入会话包与导出预览设置,JSON 可导出并可再导入,,P2,,,,
CAM,CAM-14,manual_check,Legacy 健康,/cam,查看 Legacy 桥接提示条,VITE_KIRI_LEGACY_CAM=1 时为 ready,npm run soak:cam:live,P1,,,,
FDM,FDM-01,manual_check,工作区加载,/fdm,打开 FDM 工作区,切片按钮可见,npm run test:e2e:migration,P0,,,,
FDM,FDM-02,manual_check,导入模型,/fdm,点击导入模型文件,模型列表增加,,P0,,,,
FDM,FDM-03,manual_check,切片,/fdm,选模型后点击切片,sliceResult 有层数且摘要显示,,P0,,,,
